Program,Branch/Lab,Location,Council District,Hours,Phone,On-Site Trainer,# of Machines,Sub Training Programs Offered,Public Access?,Non-English Speaking Languages,Disabled Accessibility,Last Updated,Location 1
Austin Public Library,Pleasant Hill Branch,211 E WIlliam Cannon Dr 78745,2,M-Th: 10a-9p; F: 1p-6p; Sa: 10a-5p,512-974-3940,no specific trainer,14,No programming currently offered,Yes,"Yes, when Spanish-speaking librarians are available","Braille displays, screen magnification software for visually impaired",2016-,"211 E William Cannon Dr.
Austin, TX 78745
(30.192562, -97.77705)"
Austin Public Library,Manchaca Road Branch,5500 Manchaca Rd 78745,5,M-Th: 10a-9p; F: 1p-6p; Sa: 10a-5p,512 974 8700,no specific trainer,34,Connected Youth,Yes,"Yes, when Spanish-speaking librarians are available","Braille displays, screen magnification software for visually impaired",2016-,"5500 Manchaca Rd
Austin, TX 78745
(30.216373, -97.796867)"
Skillpoint Alliance,The Henry Flores Learning Center at Meadowbrook,"1201 W Live Oak St, Austin, TX 78704",4,M-F 8a-4p,515 814 3278,Yes,Uknown ,"10 Week Empower Computer Proficiency Program: professional development skills (MS Office, Internet, Email, Outlook)",Yes,No,Uknown ,2016-,"1201 W Live Oak St.
Austin, TX 78704
(30.247302, -97.766118)"
Austin Public Library,Hampton Branch at Oak Hill,5125 Convict Hill Rd 78749,8,M-Th: 10a-9p; F: 1p-6p; Sa: 10a-5p; Classes: Th 2-3pm,512 974 9900,no specific trainer,13,"Tech Time: Training for mobile and reading devices (Tablets, eReaders, Smartphones etc)",Yes,"Yes, when Spanish-speaking librarians are available","Braille displays, screen magnification software for visually impaired",2016-,"5125 Convict Hill Rd.
Austin, TX 78749
(30.218813, -97.854383)"
Austin Free-Net,Oak Springs Villas,3001 Oak Springs Dr 78702,3,Uknown ,(512) 928-2015,No,3,Uknown ,Residents Only,,Uknown ,2016-,"3001 Oak Springs Dr.
Austin, TX 78702
(30.273009, -97.701313)"
YMCA,Southwest Center,6219 Oakclaire Dr. 78753,1,5a-10p,512.891.9622,Uknown ,Uknown ,Uknown ,"Yes, with free membership registration",Uknown ,Wheel chair accessible,2016-,"6219 Oakclaire Dr.
Austin, TX 78753
(30.23633, -97.854027)"
Skillpoint Alliance,Mendez Middle School,5106 Village Square 78744,2,M-F 8a-4p,514 814 3278,Yes,Uknown ,"10 Week Empower Computer Proficiency Program: professional development skills (MS Office, Internet, Email, Outlook)",Yes,"Yes, Spanish",Wheel chair accessible,2016-,"5106 Village Square
Austin, TX 78744
(30.187955, -97.743694)"
Austin Public Library,Twin Oaks Branch,1800 S Fifth St 78704,9,M-Th: 10a-9p; F: 1p-6p; Sa: 10a-5p Classes: Wed. 6-7 PM,512 974 9980,no specific trainer,35,"Tech Time: Training for mobile and reading devices (Tablets, eReaders, Smartphones etc)",Yes,"Yes, when Spanish-speaking librarians are available","Braille displays, screen magnification software for visually impaired",2016-,"1800 S Fifth St.
Austin, TX 78704
(30.248863, -97.76174)"
Austin Free-Net,Trinity Center,304 E. 7th St.78701,9,M-F: 9-1,(512) 610-3542,No,4,"Providing services to Austin’s homeless neighbors, Trinity Center has a mix of open lab time staffed by trainers and volunteers and computer classes.",Trinity Clients Only,No,Uknown ,2016-,"304 E. 7th St.
Austin, TX 78701
(30.268153, -97.739495)"
Austin Public Library,St. John Branch,7500 Blessing Ave 78752,4,M-Th: 10a-9p; F: 1p-6p; Sa: 10a-4p,512 974 7570,no specific trainer,38,Connected Youth and New Immigrants Center Resource Site,Yes,"Yes, when Spanish-speaking librarians are available","Braille displays, screen magnification software for visually impaired",2016-,"7500 Blessing Ave
Austin, TX 78752
(30.331949, -97.693032)"
Austin Public Library,Cepeda Branch,651 N Pleasant Valley Rd 78702,3,M-Th: 10a-9p; F: 1p-6p; Sa: 10a-5p,512 974 7372,no specific trainer,13,Victory Tutoring and New Immigrants Center Resource Site,Yes,"Yes, when Spanish-speaking librarians are available","Braille displays, screen magnification software for visually impaired",2016-,"651 N Pleasant Valley Rd.
Austin, TX 78702
(30.259785, -97.709632)"
